Input,Output,Inquiry,File,FPAdj,RawFPcounts,Effort
25.0,133.5,45.75,47,1.0,1227.5225,38.08749999999999
74.25,98.0,45.75,36,1.0,1227.5225,38.08749999999999
70.0,27.0,0.0,12,0.8,535.0,11.1
40.0,60.0,20.0,12,1.15,660.0,21.1
10.0,69.0,1.0,9,0.9,478.89,28.8
13.0,19.0,0.0,23,0.75,377.33,10.0
34.0,14.0,0.0,5,0.8,256.25,8.0
17.0,17.0,15.0,5,1.1,262.73,4.9
45.0,64.0,14.0,16,0.95,715.79,12.9
40.0,60.0,20.0,15,1.15,690.43,19.0
41.0,27.0,29.0,5,1.1,465.45,10.8
33.0,17.0,8.0,5,0.75,298.67,2.9
28.0,41.0,16.0,11,0.85,490.59,7.5
43.0,40.0,20.0,35,0.85,802.35,12.0
7.0,12.0,13.0,8,0.95,220.0,4.1
28.0,38.0,24.0,9,1.05,487.62,15.8
42.0,57.0,12.0,5,1.1,550.91,18.3
27.0,20.0,24.0,6,1.1,363.64,8.9
48.0,66.0,13.0,47,1.15,1073.91,38.08749999999999
69.0,112.0,21.0,39,1.2,1227.5225,38.08749999999999
25.0,28.0,4.0,22,1.05,476.19,3.6
61.0,68.0,0.0,11,1.0,694.0,11.8
15.0,15.0,6.0,3,1.05,189.52,0.5
12.0,15.0,0.0,15,0.95,273.68,6.1
