ID,Language,Hardware,Duration,KSLOC,AdjFP,RAWFP,EffortMM
1.0,1.0,1.0,17.0,253.6,1217.1,1010.0,287.0
2.0,1.0,2.0,7.0,40.5,507.3,457.0,82.5
3.0,1.0,3.0,15.0,450.0,2306.8,2284.0,507.125
4.0,1.0,1.0,18.0,214.4,788.5,881.0,86.9
5.0,1.0,2.0,13.0,449.9,1337.6,1583.0,336.3
6.0,1.0,4.0,5.0,50.0,421.3,411.0,84.0
7.0,1.0,4.0,5.0,43.0,99.9,97.0,23.2
8.0,1.0,2.0,11.0,200.0,993.0,998.0,130.3
9.0,1.0,1.0,14.0,289.0,1592.9,1554.0,116.0
10.0,1.0,1.0,5.0,39.0,240.0,250.0,72.0
11.0,1.0,1.0,13.0,254.2,1611.0,1603.0,258.7
12.0,1.0,5.0,30.25,128.6,789.0,724.0,230.7
13.0,1.0,6.0,20.0,161.4,690.9,705.0,157.0
14.0,1.0,1.0,26.0,164.8,1347.5,1375.0,246.9
15.0,1.0,1.0,14.0,60.2,1044.3,976.0,69.9
