KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,MM
44.2,24.0,26.0,41.0,246.0,642.0,589.0,59.5
59.0,34.0,30.0,28.0,651.0,447.0,1143.0,85.0
36.9,9.0,36.0,29.0,193.0,694.0,995.0,31.5
39.3,27.0,10.0,52.0,389.0,105.0,2344.0,58.9
48.3,21.0,22.0,20.0,241.0,371.0,2052.0,58.9
43.1,7.0,56.0,32.0,113.0,906.0,1816.0,67.3
9.7,3.0,9.0,9.0,206.0,194.0,553.0,8.2
13.7,12.0,8.0,12.0,214.0,266.0,496.0,13.9
59.7,32.0,39.0,13.0,330.0,1189.0,477.0,36.0
84.4,61.0,38.0,24.0,898.0,675.0,1313.0,89.5
56.5,37.0,19.0,18.0,411.0,238.0,521.0,39.5
42.1,31.0,11.0,12.0,299.0,62.0,433.0,27.5
84.6,26.0,34.0,22.0,106.0,635.0,482.0,103.5
118.19999999999999,74.0,60.25,62.0,1239.0,861.0,1832.0,109.375
55.8,47.0,7.0,38.0,1239.0,339.0,941.0,48.0
59.8,57.0,36.0,31.0,1191.0,569.0,1041.0,18.0
68.9,49.0,29.0,35.0,1239.0,1148.0,1333.0,43.8
8.6,6.0,3.0,10.0,128.0,47.0,115.0,7.1
22.3,0.0,20.0,22.0,0.0,433.0,777.0,20.6
79.1,34.0,51.0,35.0,665.0,1211.0,1169.0,32.7
13.7,3.0,7.0,2.0,57.0,105.0,163.0,9.0
7.8,2.0,9.0,3.0,55.0,285.0,57.0,7.5
42.1,36.0,13.0,6.0,461.0,286.0,83.0,37.2
46.6,29.0,10.0,9.0,125.0,283.0,338.0,59.1
86.1,16.0,19.0,39.0,357.0,432.0,873.0,54.0
72.1,21.0,17.0,18.0,647.0,581.0,971.0,37.1
118.19999999999999,68.0,50.0,47.0,1239.0,1256.0,1744.0,109.375
118.19999999999999,38.0,44.0,10.0,1239.0,1256.0,498.0,39.0
118.19999999999999,74.0,18.0,79.75,1239.0,426.0,2383.25,109.375
31.5,14.0,3.0,16.0,395.0,135.0,717.0,37.0
118.19999999999999,26.0,60.25,70.0,360.0,1200.0,1832.0,109.375
20.2,9.0,4.0,7.0,258.0,73.0,167.0,29.0
19.1,0.0,16.0,10.0,0.0,346.0,354.0,36.9
31.2,31.0,2.0,13.0,394.0,45.0,388.0,37.0
23.7,11.0,9.0,6.0,553.0,309.0,265.0,23.0
43.0,23.0,12.0,41.0,397.0,426.0,1135.0,52.0
20.2,25.0,5.0,25.0,206.0,66.0,598.0,22.0
54.6,12.0,11.0,25.0,115.0,187.0,1070.0,42.3
37.5,14.0,14.0,23.0,315.0,185.0,609.0,34.3
64.1,10.0,10.0,59.0,186.0,167.0,1569.0,55.7
49.2,0.0,16.0,53.0,0.0,236.0,1488.0,39.0
50.8,71.0,13.0,50.0,590.0,255.0,660.0,109.375
17.1,5.0,16.0,37.0,62.0,403.0,872.0,6.0
6.9,0.0,0.0,28.0,0.0,0.0,1338.0,5.6
25.2,8.0,9.0,6.0,99.0,143.0,955.0,20.1
55.0,14.0,24.0,47.0,202.0,504.0,932.0,31.5
35.1,51.0,0.0,6.0,347.0,0.0,122.0,50.1
